ANIO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_ENTAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2022|6|M|GUAYAS|GENERAL ANTONIO ELIZALDE|0,0000|857549,3300|0,0000|58365,1200|889788,5400|0,0000|0,0000|948153,6600|897258,4800
2022|3|C|NAPO|TENA|98208,5200|79280,8900|0,0000|164216,4000|43449,9900|1528,3400|10793,6500|219988,3800|240384,9300
2022|7|R|ESMERALDAS|ESMERALDAS|0,0000|24468,7100|0,0000|61147,0400|6396,2200|0,0000|0,0000|67543,2600|67801,1600
2022|5|F|NAPO|QUIJOS|0,0000|105,0300|0,0000|33544,3400|5631,2700|0,0000|0,0000|39175,6100|28107,3400
2022|3|S|MANABI|PORTOVIEJO|759526,2600|1359774,3200|0,0000|921203,9400|751584,2000|1512,8600|30139,7200|1704440,7200|2255292,0700
2022|1|S|MANABI|PAJAN|26196,7500|55506,0400|0,0000|25315,9300|32371,5400|0,0000|0,0000|57687,4700|81722,8000
2022|7|H|LOJA|SARAGURO|0,0000|29369,9700|0,0000|37622,1400|910,3500|0,0000|0,0000|38532,4900|42073,8600
2022|8|F|GALAPAGOS|SANTA CRUZ|0,0000|2099,1000|0,0000|28533,3100|4101,1900|0,0000|15,2500|32649,7500|16439,2400
2022|4|G|CARCHI|MONTUFAR|0,0000|2920503,7000|0,0000|928924,6100|2727070,2300|0,0000|47626,0800|3703620,9200|3717404,0600
2022|1|L|AZUAY|SIGSIG|5397,1800|10,0000|0,0000|85,9900|0,0000|0,0000|0,0000|85,9900|5457,2100
2022|9|F|AZUAY|SANTA ISABEL|0,0000|0,0000|0,0000|27326,2100|749,2100|0,0000|0,0000|28075,4200|94317,3100
2022|4|K|COTOPAXI|SALCEDO|0,0000|51547,0600|0,0000|320761,1200|130697,0800|0,0000|41263,0300|492721,2300|69023,8500
2022|4|I|MANABI|PORTOVIEJO|10,0000|133419,0800|2342,9000|321223,5200|294541,4100|0,0000|14075,0000|629839,9300|777277,9400
2022|5|C|GUAYAS|NOBOL|7142,8600|1703702,2500|9744988,6000|4601629,2500|923501,1900|7940294,0100|1622,7100|13467047,1600|14588343,7700
2022|5|G|LOS RIOS|QUINSALOMA|0,0000|2298842,3400|304578,6500|1483707,5200|2380138,3800|0,0000|15944,3900|3879790,2900|4088209,7600
2022|4|F|SUCUMBIOS|LAGO AGRIO|0,0000|3174,0700|0,0000|1406607,4000|83702,3700|1996,6300|7970,4800|1500276,8800|998245,9500
2022|5|Q|ORELLANA|ORELLANA|0,0000|214616,4500|0,0000|602829,9700|122043,3200|0,0000|7570,6400|732443,9300|231814,1700
2022|8|C|AZUAY|CUENCA|16998,4700|38489716,2200|12980253,5600|60770367,9700|26109678,1400|65045818,8900|645132,5200|152847172,5200|176086837,2500
2022|2|Q|CAÑAR|LA TRONCAL|14704,1600|8737,1000|0,0000|38332,9500|21258,7800|0,0000|1921,9500|61513,6800|33869,0900
2022|9|Q|PICHINCHA|CAYAMBE|0,0000|316117,3200|0,0000|63335,9600|59938,5500|0,0000|7080,3800|130354,8900|345089,5300
2022|2|H|MANABI|MANTA|3141355,0800|2461389,4800|995644,4600|3588886,5900|1068627,8700|6633,8000|30257,3400|4695768,1000|6909513,0900
2022|4|S|ZAMORA CHINCHIPE|YANTZAZA|0,0000|1249,6800|0,0000|38496,3500|1069,9800|8,3400|1012,4500|40587,1200|24530,3600
2022|1|G|CHIMBORAZO|COLTA|647863,7100|162621,7400|0,0000|686579,1500|89344,0800|0,0000|3324,0000|779247,2300|830235,1200
2022|5|M|GUAYAS|SAMBORONDON|19064,2900|1829366,5700|638394,8000|8013165,9000|3043623,7100|537277,1200|52085,6100|11646679,5400|18427553,1500
2022|3|F|CHIMBORAZO|RIOBAMBA|2290189,6000|340717,0400|0,0000|2142673,9900|122750,7400|163,4600|36294,3200|2301882,5100|3134169,4000
2022|9|H|MORONA SANTIAGO|MORONA|0,0000|243915,5900|0,0000|227152,0600|144061,7100|0,0000|8479,8200|379693,5900|470523,6400
2022|6|S|AZUAY|NABON|0,0000|30573,6400|0,0000|38370,7400|14406,1500|0,0000|571,2000|53348,0900|91341,8500
2022|9|W|LOJA|PUYANGO|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2022|1|E|MORONA SANTIAGO|MORONA|0,0000|12625,2700|0,0000|4613,0100|175,5500|0,0000|0,0000|4788,5600|12625,2700
2022|5|A|LOJA|LOJA|0,0000|993767,0600|0,0000|253010,0300|820096,3100|69809,1500|7915,1900|1150830,6800|1021521,3800
2022|6|F|AZUAY|CUENCA|150898,0000|3186103,2600|0,0000|13402552,4000|2331420,3500|733583,9500|149773,3700|16620300,8800|17603078,6600
2022|4|K|PICHINCHA|MEJIA|0,0000|374142,9700|0,0000|50082,4600|41469,3700|0,0000|1029,5000|92581,3300|379885,7400
2022|5|G|AZUAY|CUENCA|228751,2900|51725247,3700|470384,0900|172070228,8600|45410742,9100|94613466,5000|665094,6500|312816169,7900|362194374,5100
2022|6|C|LOJA|ZAPOTILLO|0,0000|83467,6300|0,0000|57823,6500|90395,1100|0,0000|0,0000|148218,7600|121861,5700
2022|1|H|MANABI|MONTECRISTI|500293,6900|782986,5400|0,0000|544058,4600|191767,9400|252,7500|2992,7400|739071,8900|1327608,9400
2022|2|C|AZUAY|GUALACEO|372074,4700|86966,8100|0,0000|329339,7100|53568,4500|101020,3600|8208,4600|492136,9800|463112,0800
2022|5|A|TUNGURAHUA|SAN PEDRO DE PELILEO|0,0000|4674020,9400|0,0000|457175,2800|27270878,5600|373805,5900|24624,9000|28126484,3300|4720823,5100
2022|9|N|CHIMBORAZO|ALAUSI|0,0000|707,0000|0,0000|5555,9200|0,0000|0,0000|0,0000|5555,9200|10886,3400
2022|2|F|PASTAZA|ARAJUNO|170514,0300|20,1000|0,0000|123107,5500|6003,5000|0,0000|0,0000|129111,0500|170541,8600
2022|5|L|AZUAY|CAMILO PONCE ENRIQUEZ|0,0000|9279,4800|0,0000|32999,2400|31316,1700|0,0000|207,4400|64522,8500|56319,1900
2022|4|Q|PICHINCHA|QUITO|62040,7400|136098599,3700|624963,7000|43960130,6700|70166049,2600|504538,5400|572383,0300|115256166,8900|146416759,7200
2022|3|G|LOS RIOS|VALENCIA|761239,6600|1132390,3500|286884,2600|1642660,9200|1008504,6100|175419,1600|31018,1600|2857602,8500|3160397,7100
2022|3|I|CHIMBORAZO|CUMANDA|2497,5200|8424,4700|0,0000|11745,0700|7234,2200|2235,1000|127,4000|21341,7900|34539,1900
2022|5|M|GUAYAS|GUAYAQUIL|70995,8100|13193710,2900|2117233,2700|54482605,8600|10793931,7200|1127152,7100|595009,3200|67944116,7300|113020012,3600
2022|2|H|CHIMBORAZO|RIOBAMBA|469425,4300|2329391,6800|10,0000|783163,1900|1207588,9600|31,0000|6361,5100|1997144,6600|2838795,9400
2022|8|H|MORONA SANTIAGO|MORONA|0,0000|170106,0900|0,0000|240278,5900|105122,9600|0,0000|12825,6900|358227,2400|484256,9900
2022|7|B|IMBABURA|IBARRA|0,0000|4228,4000|0,0000|285271,5300|5099,7700|340,0000|0,0000|290711,3000|120121,8200
2022|5|C|SANTA ELENA|SANTA ELENA|0,0000|5553007,4100|328983,5000|2717237,7600|7784503,7000|7709,9400|31458,0300|10540909,4300|6561955,3900
2022|7|A|CAÑAR|LA TRONCAL|0,0000|1268318,9000|0,0000|146641,2500|834315,7500|0,0000|4262,8500|985219,8500|1328967,5200
2022|9|I|TUNGURAHUA|AMBATO|0,0000|417054,9100|0,0000|1271609,5200|784233,6800|14006,9300|46705,1400|2116555,2700|2907727,1500
